,player_id,full_name,status,team,position
10934,10934,Zach Harrison,Active,ATL,DE
7120,7120,Trevis Gipson,Inactive,SEA,LB
7274,7274,Tyler Simmons,Active,,WR
5359,5359,Dorren Miller,Active,,WR
2127,2127,Mohammed Seisay,Inactive,,CB
934,934,Ryan Taylor,Inactive,,TE
7017,7017,Trajan Bandy,Active,,CB
8010,8010,Kenny Randall,Active,,DT
7873,7873,Jordan Meredith,Active,LV,OL
3768,3768,Darius Powe,Inactive,,WR
6880,6880,Logan Wilson,Inactive,CIN,LB
8296,8296,Kaiir Elam,Active,BUF,DB
5079,5079,Darius Phillips,Inactive,,CB
11324,11324,Anderson Hardy,Active,,OL
8473,8473,Eric Johnson,Active,NE,DT
3517,3517,Hunter Sharp,Inactive,,WR
2851,2851,Kaleb Eulls,Injured Reserve,,DT
12180,12180,Alex McNulty,Active,,K
2498,2498,Derron Smith,Inactive,,SS
2661,2661,Brock Hekking,Inactive,,OLB
7869,7869,David Moore,Active,,G
3609,3609,Chris King,Inactive,,WR
421,421,Matthew Stafford,Active,LAR,QB
6654,6654,JoJo Tillery,Active,,FS
1293,1293,Jeremy Stewart,Inactive,,RB
4368,4368,Hardy Nickerson,Active,,LB
11636,11636,Johnny Wilson,Active,PHI,WR
5258,5258,Damon Gibson,Inactive,,WR
8134,8134,Khalil Shakir,Active,BUF,WR
7380,7380,Tyler Haycraft,Active,,T
6023,6023,Iman Marshall,Active,,CB
1634,1634,Jason Weaver,Inactive,,OT
5513,5513,Tracy Sprinkle,Active,,DT
467,467,Sean Smith,Active,,CB
6555,6555,AJ Cole,Active,LV,P
3823,3823,Sam Carlson,Inactive,,G
5398,5398,Justin Crawford,Active,,RB
8312,8312,Kalon Barnes,Active,,DB
7828,7828,Noah Gray,Active,KC,TE
3603,3603,Kameron Canaday,Active,,LS
10861,10861,Xazavian Valladay,Active,NO,RB
11667,11667,Dallas Turner,Active,MIN,LB
6098,6098,Ben Burr-Kirven,Active,,LB
11218,11218,Cam Bright,Active,,LB
12006,12006,Sheridan Jones,Active,,CB
5482,5482,Austin Davis,Active,,C
4814,4814,De'Quan Hampton,Active,,WR
7397,7397,Parker Houston,Active,,TE
6841,6841,Jordan Elliott,Active,SF,DT
11557,11557,Joe Milton,Active,NE,QB
5052,5052,Ronald Jones,Active,,RB
4128,4128,Chad Williams,Active,,WR
888,888,Sterling Moore,Inactive,,CB
3059,3059,Dan Campbell,Inactive,,
6516,6516,Blake Blackmar,Inactive,,G
5677,5677,Mo Porter,Active,,OT
3128,3128,Jim Schwartz,Inactive,,
11054,11054,Travis Bell,Active,MIN,DL
6626,6626,Isaac Zico,Active,,WR
6757,6757,James Fisher,Active,,LS
6780,6780,Joe Houston,Inactive,,
2550,2550,Taurean Nixon,Inactive,,CB
5995,5995,Justice Hill,Active,BAL,RB
3524,3524,Marquise Williams,Inactive,,QB
1375,1375,Marc Anthony,Inactive,,CB
7753,7753,Pressley Harvin,Active,,P
3941,3941,Tylor Harris,Active,,DT
4115,4115,Pat Elflein,Inactive,,G
11764,11764,Josh Newton,Active,CIN,CB
1784,1784,Ross Weaver,Inactive,,CB
5895,5895,Chris Lindstrom,Active,ATL,G
5477,5477,Reggie Hunter,Active,,LB
4421,4421,Jacob Hollister,Active,,TE
5055,5055,M.J. Stewart,Active,HOU,DB
10886,10886,Peter Skoronski,Active,TEN,OL
2926,2926,Earnest Pettway,Inactive,,TE
2887,2887,Quan Bray,Inactive,,WR
2681,2681,Terry Redden,Inactive,,DT
2891,2891,Deontay Greenberry,Inactive,,DE
